modality,snr_db,num_ok,num_error,corpus_wer
a,inf,1241,0,0.018638
a,30,1241,0,0.016684
a,25,1241,0,0.016534
a,20,1241,0,0.016684
a,15,1241,0,0.019540
a,10,1241,0,0.032166
a,5,1241,0,0.078010
a,0,1241,0,0.447467
a,-5,1241,0,0.970540
a,-10,1241,0,1.000000
v,inf,1241,0,0.154817
v,30,1241,0,0.154817
v,25,1241,0,0.154817
v,20,1241,0,0.154817
v,15,1241,0,0.154817
v,10,1241,0,0.154817
v,5,1241,0,0.154817
v,0,1241,0,0.154817
v,-5,1241,0,0.154817
v,-10,1241,0,0.154817
av,inf,1241,0,0.013979
av,30,1241,0,0.013528
av,25,1241,0,0.013227
av,20,1241,0,0.012926
av,15,1241,0,0.014730
av,10,1241,0,0.015031
av,5,1241,0,0.032917
av,0,1241,0,0.124455
av,-5,1241,0,0.666466
av,-10,1241,0,0.983767
