japanese_word_kanji,japanese_word_non-kanji,meaning_english,literal_read,pronunciation_read
好き,すき,like/love,su ki,s ki
学生,がくせい,student,ga ku se i,ga k se i
靴,くつ,shoes,ku tsu,k tsu
靴下,くつした,socks,ku tsu shi ta,k tsu sh ta
失礼,しつれい,rudeness/excuse me,shi tsu re i,shi ts re i
した,した,under/below,shi ta,sh ta
人,ひと,person,hi to,h to
機械,きかい,machine,ki ka i,k ka i
北,きた,north,ki ta,k ta
草,くさ,grass,ku sa,k sa
口,くち,mouth,ku chi,k chi
明日,あした,tomorrow,a shi ta,a sh ta
不思議,ふしぎ,wonderful/strange,fu shi gi,f shi gi
深い,ふかい,deep,fu ka i,f ka i
たくさん,たくさん,many/a lot,ta ku sa n,ta k sa n
机,つくえ,desk,tsu ku e,tsu k e
地下鉄,ちかてつ,subway,chi ka te tsu,chi ka te ts
突き当り,つきあたり,end of the street,tsu ki a ta ri,ts ki a ta ri
育つ,そだつ,to grow up,so da tsu,so da ts
です,です,to be (copula),de su,de s
ます,ます,polite verb ending,ma su,ma s
聞く、きく,to listen,ki ku,k ku
聞こえる,きこえる,to be heard,ki ko e ru,k ko e ru
食べる,たべる,to eat,ta be ru,ta be ru
尽くす,つくす,to do one's best,tsu ku su,tsu k su
起きた,おきた,woke up,o ki ta,o k ta
色彩,しきさい,color,shi ki sa i,sh ki sa i
機械,きかい,machine,ki ka i,k ka i
記者,きしゃ,journalist,ki sha,k sha
引き起こす,ひきおこす,to cause,hi ki o ko su,h ki o ko s
アクセント,あくせんと,accent,a ku se n to,a k se n to
クタクタだ,くたくただ,exhausted,ku ta ku ta da,k ta k ta da
グタグタだ,ぐたぐただ,exhausted,gu ta gu ta da,g ta g ta da
ズタズタだ,ずたずただ,exhausted,zu ta zu ta da,z ta z ta da
スカスカだ,すかすかだ,empty,su ka su ka da,s ka s ka da
している,している,doing,shi te i ru,sh te i ru
月,つき,moon,tsu ki,t su ki
草,くさ,grass,ku sa,k sa
きつい,きつい,tight/difficult,ki tsu i,k tsu i
癖,くせ,habit/kink,ku se,k se
癖げ,くせげ,habitual,ku se ge,k se ge
素敵,すてき,lovely/nice,su te ki,s te ki
素晴らしい,すばらしい,wonderful,su ba ra shi i,s ba ra shi i
凄い,すごい,amazing/incredible,su go i,s go i
服,ふく,clothes,fu ku,f ku
素直,すなお,obedient/honest,su na o,s na o
下道,したみち,local road,shi ta mi chi,sh ta mi chi
下手,へた,unskilled,he ta,h ta
くしゃみ,くしゃみ,sneeze,ku sha mi,k sha mi
下着,したぎ,underwear,shi ta gi,sh ta gi
薬,くすり,medicine,ku su ri,k su ri
啜り,すすり,sipping,su su ri,s su ri
くしゃくしゃ,くしゃくしゃ,crumpled,ku sha ku sha,k sha k sha
狐,きつね,fox,ki tsu ne,k tsu ne
明日,あした,tomorrow,a shi ta,a sh ta
すみ,すみ,corner/smoke,su mi,s mi
罪,つみ,crime/sin,tsu mi,ts mi
滑る,すべる,to slip,su be ru,s be ru
全て,すべて,all,everything,su be te,s be te
すれ違う,すれちがう,to pass by each other,su re chi ga u,s re chi ga u
育つ,そだつ,to grow up,so da tsu,so da ts
地下鉄,ちかてつ,subway,chi ka te tsu,chi ka te ts
突き当たり,つきあたり,end of the street,tsu ki a ta ri,ts ki a ta ri





